date,game,T1,Draw,T2
2025-01-27,Jordan vs Uzbekistan,0.282,0.284,0.434
2025-02-06,Jamaica vs Trinidad and Tobago,0.567,0.257,0.176
2025-02-08,Chile vs Panama,0.34,0.289,0.371
2025-02-09,Jamaica vs Trinidad and Tobago,0.567,0.257,0.176
2025-03-17,Guatemala vs Honduras,0.296,0.286,0.418
2025-03-20,Australia vs Indonesia,0.769,0.173,0.059
2025-03-20,Iran vs United Arab Emirates,0.691,0.211,0.098
2025-03-20,Iraq vs Kuwait,0.634,0.235,0.131
2025-03-20,Japan vs Bahrain,0.738,0.189,0.073
2025-03-20,Jordan vs Palestine,0.597,0.248,0.155
2025-03-20,Qatar vs North Korea,0.518,0.27,0.212
2025-03-20,Saudi Arabia vs China,0.502,0.273,0.225
2025-03-20,South Korea vs Oman,0.651,0.228,0.121
2025-03-20,Uzbekistan vs Kyrgyzstan,0.772,0.171,0.057
2025-03-20,Croatia vs France,0.187,0.261,0.552
2025-03-20,Denmark vs Portugal,0.215,0.271,0.515
2025-03-20,Italy vs Germany,0.309,0.287,0.404
2025-03-20,Netherlands vs Spain,0.135,0.237,0.628
2025-03-20,Austria vs Serbia,0.426,0.285,0.288
2025-03-20,Belgium vs Ukraine,0.412,0.287,0.301
2025-03-20,Greece vs Scotland,0.417,0.286,0.297
2025-03-20,Turkey vs Hungary,0.35,0.289,0.361
2025-03-20,Armenia vs Georgia,0.111,0.222,0.667
2025-03-20,Bulgaria vs Ireland,0.227,0.274,0.499
2025-03-20,Kosovo vs Iceland,0.331,0.289,0.381
2025-03-20,Slovakia vs Slovenia,0.327,0.289,0.384
2025-03-20,Tajikistan vs Belarus,0.198,0.265,0.536
2025-03-20,Vietnam vs Myanmar,0.796,0.157,0.047
2025-03-20,Brazil vs Colombia,0.376,0.289,0.335
2025-03-20,Ecuador vs Venezuela,0.559,0.259,0.182
2025-03-20,Paraguay vs Chile,0.426,0.285,0.288
2025-03-20,Peru vs Bolivia,0.43,0.285,0.285
2025-03-20,Uruguay vs Argentina,0.196,0.264,0.54
2025-03-20,Canada vs Mexico,0.374,0.289,0.337
2025-03-20,United States vs Panama,0.414,0.287,0.3
2025-03-21,New Caledonia vs Tahiti,0.421,0.286,0.294
2025-03-21,New Zealand vs Fiji,0.729,0.193,0.078
2025-03-21,Andorra vs Latvia,0.168,0.253,0.579
2025-03-21,Cyprus vs San Marino,0.803,0.153,0.044
2025-03-21,England vs Albania,0.747,0.184,0.069
2025-03-21,Malta vs Finland,0.117,0.226,0.657
2025-03-21,Poland vs Lithuania,0.779,0.167,0.054
2025-03-21,Romania vs Bosnia and Herzegovina,0.623,0.239,0.139
2025-03-21,Thailand vs Afghanistan,0.681,0.216,0.103
2025-03-21,Costa Rica vs Belize,0.856,0.119,0.025
2025-03-21,Guatemala vs Guyana,0.651,0.228,0.121
2025-03-21,Honduras vs Bermuda,0.781,0.166,0.053
2025-03-21,Jamaica vs St Vincent & Grenadines,0.797,0.156,0.046
2025-03-21,Martinique vs Suriname,0.425,0.285,0.289
2025-03-21,Nicaragua vs Guadeloupe,0.387,0.288,0.325
2025-03-21,Trinidad and Tobago vs Cuba,0.488,0.276,0.236
2025-03-22,Czechia vs Faroe Islands,0.817,0.144,0.038
2025-03-22,Israel vs Estonia,0.612,0.243,0.145
2025-03-22,Liechtenstein vs North Macedonia,0.01,0.079,0.911
2025-03-22,Moldova vs Norway,0.045,0.154,0.801
